Thuật toán,Level,Thời gian (s),Bộ nhớ (MB)
BFS,3,126.462,69.254
BFS,3,126.566,69.254
BFS,3,126.669,69.254
BFS,3,126.772,69.254
BFS,3,126.875,69.254
BFS,3,126.978,69.254
BFS,3,127.081,69.254
BFS,3,127.184,69.254
BFS,3,127.288,69.254
BFS,3,127.392,69.254
BFS,3,127.495,69.254
BFS,3,127.598,69.254
BFS,3,127.701,69.254
BFS,3,127.805,69.254
BFS,3,127.908,69.254
BFS,3,128.012,69.254
BFS,3,128.115,69.254
BFS,3,128.218,69.254
BFS,3,128.321,69.254
BFS,3,128.424,69.254
BFS,3,128.529,69.254
BFS,3,128.632,69.254
BFS,3,128.735,69.254
BFS,3,128.838,69.254
BFS,3,128.941,69.254
BFS,3,129.044,69.254
BFS,3,129.147,69.254
BFS,3,129.25,69.254
BFS,3,129.353,69.254
BFS,3,129.456,69.254
BFS,3,129.559,69.254
BFS,3,129.663,69.254
BFS,3,129.766,69.254
BFS,3,129.869,69.254
BFS,3,129.973,69.254
BFS,3,130.078,69.254
BFS,3,130.181,69.254
BFS,3,130.284,69.254
BFS,3,130.387,69.254
BFS,3,130.491,69.254
BFS,3,130.595,69.254
BFS,3,130.698,69.254
BFS,3,130.802,69.254
BFS,3,130.906,69.254
BFS,3,131.009,69.254
BFS,3,131.113,69.254
BFS,3,131.217,69.254
BFS,3,131.322,69.254
BFS,3,131.425,69.254
BFS,3,131.529,69.254
BFS,3,131.632,69.254
BFS,3,131.736,69.254
BFS,3,131.839,69.254
BFS,3,131.942,69.254
BFS,3,132.046,69.254
BFS,3,132.149,69.254
BFS,3,132.252,69.254
BFS,3,132.355,69.254
BFS,3,132.459,69.254
BFS,3,132.563,69.254
BFS,3,132.666,69.254
BFS,3,132.769,69.254
BFS,3,132.872,69.254
BFS,3,132.975,69.254
BFS,3,133.078,69.254
BFS,3,133.181,69.254
BFS,3,133.284,69.254
BFS,3,133.387,69.254
BFS,3,133.49,69.254
BFS,3,133.593,69.254
BFS,3,133.698,69.254
BFS,3,133.801,69.254
BFS,3,133.905,69.254
BFS,3,134.008,69.254
BFS,3,134.111,69.254
BFS,3,134.215,69.254
BFS,3,134.318,69.254
BFS,3,134.421,69.254
BFS,3,134.524,69.254
BFS,3,134.628,69.254
BFS,3,134.731,69.254
BFS,3,134.839,69.254
BFS,3,134.943,69.254
BFS,3,135.047,69.254
BFS,3,135.151,69.254
BFS,3,135.254,69.254
BFS,3,135.357,69.254
BFS,3,135.46,69.254
BFS,3,135.564,69.254
BFS,3,135.667,69.254
BFS,3,135.77,69.254
BFS,3,135.873,69.254
BFS,3,135.976,69.254
BFS,3,136.079,69.254
BFS,3,136.182,69.254
BFS,3,136.285,69.254
BFS,3,136.388,69.254
BFS,3,136.491,69.258
Backtrack,1,766.263,76.496
Backtrack,1,68.779,79.148
Backtrack,2,114.378,85.504
Backtrack,3,168.262,95.23
Backtrack,4,231.485,104.906
Backtrack,5,303.0,113.07
Backtrack,6,385.599,121.566
BFS,1,34.691,68.988
BFS,1,34.196,68.973
BFS,2,69.253,69.023
BFS,3,102.903,69.031
BFS,4,137.516,69.086
BFS,5,171.934,69.086
ForwardChk,1,37.268,77.676
ForwardChk,2,83.115,88.211
ForwardChk,3,148.662,100.059
ForwardChk,4,215.829,109.852
ForwardChk,5,290.854,116.625
ForwardChk,6,374.173,127.367
BeamSearch,1,30.389,68.852
BeamSearch,2,62.455,68.82
BeamSearch,3,94.522,68.82
BeamSearch,4,126.744,68.859
BeamSearch,5,158.798,68.844
BeamSearch,6,190.846,68.855
Backtrack,1,88.134,78.09
Backtrack,2,131.295,84.191
Backtrack,3,184.133,95.246
Backtrack,4,435.194,103.891
Backtrack,1,497.17,81.152
Backtrack,2,546.837,92.086
Backtrack,3,606.184,101.07
Backtrack,4,712.523,112.738
Backtrack,5,792.395,125.867
Backtrack,6,881.128,133.746
Backtrack,1,31.251,76.484
Backtrack,2,63.835,83.023
Backtrack,3,96.344,96.379
Backtrack,4,128.824,106.234
Backtrack,5,162.448,111.656
Backtrack,6,194.896,119.723
